Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0,2,2,0,0,2,7,76,2,1,1610,113,150,60,669,85,150,550,3,0.410090972,0.450867469,0.706140351,0.434782609,0.5,0.948275862,0.092105263,0.004347826,0.026315789,0.001242236
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0,0,0,0,4,0,4,36,1,2,640,60,45,44,350,53,90,,3,0.410090972,0.450867469,0.280701754,0.130434783,0.25,,0.111111111,0.00625,0,0
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0,0,0,1,0,2,3,13,1,1,30,30,150,36,69,34,152,30,3,0.410090972,0.450867469,0.013157895,0.434782609,0.25,0.051724138,0.230769231,0.1,0,0
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,1,0,2,2,1,2,8,55,4,2,777,104,122,81,260,89,122,,2,0.02747737,1.754539872,0.492707673,0.514767932,0.666666667,,0.145454545,0.01029601,0,0
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,49,250,78,104,80,2,0.02747737,1.754539872,0.507292327,0.485232068,0.333333333,1,0.107692308,0.00875,0.015384615,0.00125
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0,0,0,1,3,1,5,10,2,0.4,88,,110,84,300,47,107,,21,0.053148111,12.82873637,0.003391398,0.04017531,0.024691358,,0.5,0.056818182,0,0
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0,0,1,2,5,4,12,67,5,2,862,,,69,350,78,140,,21,0.053148111,12.82873637,0.033220287,,0.061728395,,0.179104478,0.013921114,0,0
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0,0,0,1,5,2,8,52,2,1.5,505,60,163,82,400,75,170,,21,0.053148111,12.82873637,0.019462001,0.059532505,0.024691358,,0.153846154,0.015841584,0,0
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,2,9,1,6,4,0,25,154,7,3,3500,700,243,66,400,159,,,21,0.053148111,12.82873637,0.134885155,0.088750913,0.086419753,,0.162337662,0.007142857,0.058441558,0.002571429
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,0,0,0,3,0,1,4,32,2,1.1,425,225,140,34,300,59,130,,21,0.053148111,12.82873637,0.016378912,0.051132213,0.024691358,,0.125,0.009411765,0,0
Mountain High,Sierra Nevada,California,8200,1600,6600,0,0,2,2,2,5,3,14,59,1,1.6,290,275,118,95,108,84,150,73,21,0.053148111,12.82873637,0.011176199,0.043097151,0.012345679,0.124361158,0.237288136,0.048275862,0.033898305,0.006896552
Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,0,0,0,0,4,0,4,26,,2.5,400,80,175,67,178,69,200,,21,0.053148111,12.82873637,0.015415446,0.063915267,,,0.153846154,0.01,0,0
Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,62,300,83,144,,21,0.053148111,12.82873637,0.053954062,0.051132213,0.012345679,,0.244444444,0.007857143,0,0
Snow Valley,Sierra Nevada,California,7841,1041,6800,0,0,0,0,5,6,1,12,28,6,1.2,240,188,111,82,160,79,143,164,21,0.053148111,12.82873637,0.009249268,0.040540541,0.074074074,0.279386712,0.428571429,0.05,0,0
Soda Springs,Sierra Nevada,California,7352,652,6700,0,0,0,0,1,1,2,4,18,,0.4,200,20,150,83,400,50,144,,21,0.053148111,12.82873637,0.007707723,0.054784514,,,0.222222222,0.02,0,0
Sugar Bowl Resort,Sierra Nevada,California,8383,1500,6883,1,0,5,3,1,0,2,12,105,3,3,1650,375,151,80,500,125,150,,21,0.053148111,12.82873637,0.063588716,0.055149744,0.037037037,,0.114285714,0.007272727,0.047619048,0.003030303
Tahoe Donner,Sierra Nevada,California,7350,600,6750,0,0,0,1,1,0,3,5,14,2,1,120,,150,48,400,69,144,,21,0.053148111,12.82873637,0.004624634,0.054784514,0.024691358,,0.357142857,0.041666667,0,0
Arapahoe Basin Ski Area,Colorado,Colorado,13050,2530,10780,0,0,1,2,1,2,3,9,145,3,1.5,1428,125,230,73,350,85,233,,22,0.382028278,21.1347436,0.032690811,0.070595457,0.040540541,,0.062068966,0.006302521,0.006896552,0.00070028
Aspen / Snowmass,Colorado,Colorado,12510,4406,8104,3,1,15,4,3,5,9,40,336,10,5.3,5517,658,138,72,300,179,138,,22,0.382028278,21.1347436,0.126299162,0.042357274,0.135135135,,0.119047619,0.007250317,0.044642857,0.002718869
Copper Mountain Resort,Colorado,Colorado,12313,2738,9712,1,2,4,0,4,4,9,24,150,6,1.7,2527,364,164,47,300,158,164,,22,0.382028278,21.1347436,0.057849915,0.05033763,0.081081081,,0.16,0.009497428,0.026666667,0.001582905
Purgatory,Colorado,Colorado,10822,2029,8793,0,1,2,0,3,3,3,12,101,9,1.3,1605,250,130,54,260,89,130,,22,0.382028278,21.1347436,0.036742823,0.03990178,0.121621622,,0.118811881,0.007476636,0.01980198,0.001246106
Howelsen Hill,Colorado,Colorado,7136,440,6696,0,0,0,0,0,1,3,4,17,1,6,50,25,100,104,150,25,100,10,22,0.382028278,21.1347436,0.001144636,0.030693677,0.013513514,0.023364486,0.235294118,0.08,0,0
Loveland,Colorado,Colorado,13010,2210,10800,0,0,1,3,3,2,1,10,94,1,2,1800,240,205,82,422,79,184,,22,0.382028278,21.1347436,0.041206904,0.062922038,0.013513514,,0.106382979,0.005555556,0.010638298,0.000555556
Monarch Mountain,Colorado,Colorado,11952,1162,10790,0,0,0,1,0,4,2,7,64,2,1,800,,143,80,350,89,136,,22,0.382028278,21.1347436,0.01831418,0.043891958,0.027027027,,0.109375,0.00875,0,0
Powderhorn,Colorado,Colorado,9850,1650,8200,0,0,1,0,0,2,2,5,42,2,1.5,1600,42,111,53,250,71,110,,22,0.382028278,21.1347436,0.03662836,0.034069982,0.027027027,,0.119047619,0.003125,0.023809524,0.000625
Silverton Mountain,Colorado,Colorado,13487,3087,10400,0,0,0,0,0,1,0,1,,,1.5,1819,,175,17,400,79,181,,22,0.382028278,21.1347436,0.041641866,0.053713935,,,,0.000549753,,0
Cooper,Colorado,Colorado,11700,1200,10500,0,0,0,0,1,1,2,4,41,1,1,400,,130,74,260,56,130,,22,0.382028278,21.1347436,0.00915709,0.03990178,0.013513514,,0.097560976,0.01,0,0
Ski Granby Ranch,Colorado,Colorado,9202,1000,8202,0,0,2,0,1,1,1,5,40,1,0.6,406,170,116,36,220,84,92,100,22,0.382028278,21.1347436,0.009294446,0.035604665,0.013513514,0.23364486,0.125,0.012315271,0.05,0.004926108
Sunlight Mountain Resort,Colorado,Colorado,9895,2010,7885,0,0,0,0,1,2,0,3,67,1,2.5,680,30,100,53,250,65,135,,22,0.382028278,21.1347436,0.015567053,0.030693677,0.013513514,,0.044776119,0.004411765,0,0
Telluride,Colorado,Colorado,13150,4425,8725,2,0,6,1,2,2,4,17,148,3,4.6,2000,220,131,47,280,139,137,,22,0.382028278,21.1347436,0.045785449,0.040208717,0.040540541,,0.114864865,0.0085,0.040540541,0.003
Wolf Creek Ski Area,Colorado,Colorado,11904,1604,10300,0,0,3,1,2,1,3,10,120,,2,1600,5,130,80,430,72,150,,22,0.382028278,21.1347436,0.03662836,0.03990178,,,0.083333333,0.00625,0.025,0.001875
Mohawk Mountain,Connecticut,Connecticut,1600,650,950,0,0,0,0,5,0,3,8,25,,1.5,107,100,,72,92,65,110,64,5,0.140241518,90.20386073,0.298882682,,,0.25,0.32,0.074766355,0,0
Mount Southington Ski Area,Connecticut,Connecticut,525,425,100,0,0,0,0,2,2,3,7,14,2,0.3,51,51,63,55,80,60,95,51,5,0.140241518,90.20386073,0.142458101,0.178470255,0.2,0.19921875,0.5,0.137254902,0,0
Powder Ridge Park,Connecticut,Connecticut,720,550,170,0,0,0,0,1,2,2,5,19,4,0.5,80,68,80,60,80,55,100,40,5,0.140241518,90.20386073,0.223463687,0.226628895,0.4,0.15625,0.263157895,0.0625,0,0
Ski Sundown,Connecticut,Connecticut,1075,625,450,0,0,0,0,3,0,2,5,16,2,1,70,70,84,50,45,62,95,66,5,0.140241518,90.20386073,0.195530726,0.23796034,0.2,0.2578125,0.3125,0.071428571,0,0
Woodbury Ski Area,Connecticut,Connecticut,730,300,430,0,0,0,0,0,1,4,5,12,2,0.2,50,50,126,57,70,42,180,35,5,0.140241518,90.20386073,0.139664804,0.35694051,0.2,0.13671875,0.416666667,0.1,0,0
Bogus Basin,Idaho,Idaho,7582,1800,5800,0,0,3,0,1,3,4,11,91,3,1.5,2600,,134,77,250,64,130,165,12,0.671492083,14.35939164,0.158575262,0.117957746,0.111111111,0.397590361,0.120879121,0.004230769,0.032967033,0.001153846
Brundage Mountain Resort,Idaho,Idaho,7640,1800,5840,0,0,1,0,4,0,1,6,51,2,3.2,1920,2,126,58,320,70,,,12,0.671492083,14.35939164,0.117101732,0.110915493,0.074074074,,0.117647059,0.003125,0.019607843,0.000520833
Kelly Canyon Ski Area,Idaho,Idaho,6600,1000,5600,0,0,0,0,0,4,2,6,51,1,1.3,740,,,62,200,42,,,12,0.671492083,14.35939164,0.045132959,,0.037037037,,0.117647059,0.008108108,0,0
Lookout Pass Ski Area,Idaho,Idaho,5650,1150,4500,0,0,0,0,1,3,0,4,35,2,1.5,540,,113,84,400,47,140,,12,0.671492083,14.35939164,0.032934862,0.099471831,0.074074074,,0.114285714,0.007407407,0,0
Magic Mountain Ski Area,Idaho,Idaho,7200,700,6500,0,0,0,0,0,1,2,3,11,,1.5,280,,65,81,180,32,70,,12,0.671492083,14.35939164,0.017077336,0.05721831,,,0.272727273,0.010714286,0,0
Pebble Creek Ski Area,Idaho,Idaho,8560,2200,6360,0,0,0,0,3,0,0,3,54,2,1.3,1100,30,85,70,250,47,91,30,12,0.671492083,14.35939164,0.067089534,0.074823944,0.074074074,0.072289157,0.055555556,0.002727273,0,0
Schweitzer,Idaho,Idaho,6400,2400,4000,0,1,2,0,1,3,2,9,92,3,2.1,2900,47,136,56,300,81,,100,12,0.671492083,14.35939164,0.176872408,0.11971831,0.111111111,0.240963855,0.097826087,0.003103448,0.02173913,0.000689655
Silver Mountain,Idaho,Idaho,6300,2200,4100,1,0,0,1,2,2,1,7,80,2,2.5,1600,225,130,29,300,62,193,20,12,0.671492083,14.35939164,0.097584777,0.11443662,0.074074074,0.048192771,0.0875,0.004375,0,0
Soldier Mountain Ski Area,Idaho,Idaho,7200,1400,5800,0,0,0,0,0,2,1,3,36,,0.4,1142,,60,71,,43,,,12,0.671492083,14.35939164,0.069651134,0.052816901,,,0.083333333,0.00262697,0,0
Tamarack Resort,Idaho,Idaho,7700,2800,4900,0,0,2,2,0,0,2,6,48,3,1.5,1020,200,,15,300,71,150,,12,0.671492083,14.35939164,0.062210295,,0.111111111,,0.125,0.005882353,0.041666667,0.001960784
Chestnut Mountain Resort,Illinois,Illinois,1040,475,565,0,0,0,2,4,0,3,9,22,3,0.2,139,139,87,60,50,55,112,139,4,0.031566102,6.906792831,0.727748691,0.393665158,0.5,0.727748691,0.409090909,0.064748201,0,0
Ski Snowstar Winter Sports Park,Illinois,Illinois,790,262,528,0,0,0,2,0,2,2,6,15,1,0.8,28,28,56,38,38,35,86,28,4,0.031566102,6.906792831,0.146596859,0.253393665,0.166666667,0.146596859,0.4,0.214285714,0,0
Villa Olivia,Illinois,Illinois,500,180,320,0,0,0,1,0,0,6,7,7,1,0.1,15,15,,53,25,40,70,15,4,0.031566102,6.906792831,0.078534031,,0.166666667,0.078534031,1,0.466666667,0,0
Paoli Peaks,Indiana,Indiana,900,300,600,0,0,1,1,3,1,2,8,15,2,0.4,65,65,75,41,18,45,80,65,2,0.029707887,5.491488193,0.393939394,0.477707006,0.5,0.393939394,0.533333333,0.123076923,0.066666667,0.015384615
Perfect North Slopes,Indiana,Indiana,800,400,400,0,0,0,2,3,0,6,11,23,2,1,100,100,82,39,24,52,90,100,2,0.029707887,5.491488193,0.606060606,0.522292994,0.5,0.606060606,0.47826087,0.11,0,0
Mt. Crescent Ski Area,Iowa,Iowa,1500,300,1200,0,0,0,1,0,1,0,2,11,1,0.2,50,50,,58,30,39,,50,3,0.095085054,5.331153484,0.357142857,,0.2,0.357142857,0.181818182,0.04,0,0
Seven Oaks,Iowa,Iowa,975,275,800,0,0,0,0,2,0,2,4,11,2,1,35,35,100,22,40,40,100,35,3,0.095085054,5.331153484,0.25,1,0.4,0.25,0.363636364,0.114285714,0,0
Sundown Mountain,Iowa,Iowa,1059,475,584,0,0,0,1,1,2,2,6,21,2,0.6,55,55,,46,45,46,,55,3,0.095085054,5.331153484,0.392857143,,0.4,0.392857143,0.285714286,0.109090909,0,0
Big Squaw Mountain Ski Resort,Maine,Maine,3200,660,1750,0,0,0,0,1,0,0,1,29,,0.8,,,67,6,,30,58,,9,0.669537246,25.43810062,,0.077456647,,,0.034482759,,0,
Camden Snow Bowl,Maine,Maine,1080,850,150,0,0,0,0,1,1,1,3,26,2,1,100,48,68,83,69,43,70,48,9,0.669537246,25.43810062,0.031094527,0.078612717,0.117647059,0.12371134,0.115384615,0.03,0,0
Lost Valley,Maine,Maine,495,240,255,0,0,0,0,0,2,2,4,22,2,0.3,45,45,87,58,50,55,104,45,9,0.669537246,25.43810062,0.013992537,0.100578035,0.117647059,0.115979381,0.181818182,0.088888889,0,0
Mt. Abram Ski Resort,Maine,Maine,2250,1150,1050,0,0,0,0,0,2,3,5,54,1,0.5,640,175,120,59,125,49,120,,9,0.669537246,25.43810062,0.199004975,0.138728324,0.058823529,,0.092592593,0.0078125,0,0
New Hermon Mountain,Maine,Maine,450,350,100,0,0,0,0,0,1,2,3,20,,1.9,70,70,102,55,90,32,117,45,9,0.669537246,25.43810062,0.021766169,0.117919075,,0.115979381,0.15,0.042857143,0,0
Shawnee Peak,Maine,Maine,1900,1350,600,0,0,0,1,2,1,2,6,43,3,0.8,239,234,97,81,110,75,103,110,9,0.669537246,25.43810062,0.07431592,0.112138728,0.176470588,0.283505155,0.139534884,0.025104603,0,0
Sugarloaf,Maine,Maine,4237,2820,1417,0,0,2,3,1,5,2,13,162,4,3.5,1240,618,159,68,200,99,155,,9,0.669537246,25.43810062,0.385572139,0.183815029,0.235294118,,0.080246914,0.010483871,0.012345679,0.001612903
Sunday River,Maine,Maine,3140,2340,800,1,0,4,5,3,1,1,15,135,5,3,870,552,165,60,167,105,169,140,9,0.669537246,25.43810062,0.270522388,0.190751445,0.294117647,0.360824742,0.111111111,0.017241379,0.02962963,0.004597701
Wisp,Maryland,Maryland,3115,700,2415,0,0,0,2,5,0,5,12,34,3,1.5,172,118,121,64,100,79,120,118,1,0.016540737,8.060615831,1,1,1,1,0.352941176,0.069767442,0,0
Berkshire East,Massachusetts,Massachusetts,1720,1180,540,0,0,0,2,1,1,2,6,47,2,2,180,165,120,68,120,68,120,80,11,0.159593692,104.2258859,0.154373928,0.178837556,0.111111111,0.137221269,0.127659574,0.033333333,0,0
Blandford Ski Area,Massachusetts,Massachusetts,1685,465,1035,0,0,0,0,0,3,2,5,29,2,0.5,132,70,,83,50,45,,70,11,0.159593692,104.2258859,0.113207547,,0.111111111,0.120068611,0.172413793,0.037878788,0,0
Blue Hills Ski Area,Massachusetts,Massachusetts,635,309,326,0,0,0,0,0,1,3,4,16,1,,60,60,,19,,45,,,11,0.159593692,104.2258859,0.051457976,,0.055555556,,0.25,0.066666667,0,0
Bousquet Ski Area,Massachusetts,Massachusetts,1875,750,1125,0,0,0,0,0,3,2,5,23,1,1,200,98,,19,83,49,,100,11,0.159593692,104.2258859,0.171526587,,0.055555556,0.171526587,0.217391304,0.025,0,0
Bradford Ski Area,Massachusetts,Massachusetts,1548,248,1300,0,0,0,0,2,0,8,10,15,1,0.3,48,48,,71,,55,,,11,0.159593692,104.2258859,0.041166381,,0.055555556,,0.666666667,0.208333333,0,0
Jiminy Peak,Massachusetts,Massachusetts,2380,1150,1230,0,1,0,2,3,1,2,9,45,3,2,167,163,121,71,90,81,120,104,11,0.159593692,104.2258859,0.1432247,0.180327869,0.166666667,0.17838765,0.2,0.053892216,0,0
Nashoba Valley,Massachusetts,Massachusetts,440,240,200,0,0,0,0,3,1,7,11,17,2,0.5,52,52,112,55,55,58,126,52,11,0.159593692,104.2258859,0.044596913,0.166915052,0.111111111,0.089193825,0.647058824,0.211538462,0,0
Otis Ridge Ski Area,Massachusetts,Massachusetts,1700,400,1300,0,0,0,0,0,1,3,4,11,1,1,60,55,106,73,70,40,106,35,11,0.159593692,104.2258859,0.051457976,0.157973174,0.055555556,0.060034305,0.363636364,0.066666667,0,0
Ski Butternut,Massachusetts,Massachusetts,1800,1000,800,0,0,0,3,1,1,6,11,22,2,1.5,110,110,107,56,115,60,110,,11,0.159593692,104.2258859,0.094339623,0.159463487,0.111111111,,0.5,0.1,0,0
Wachusett Mountain Ski Area,Massachusetts,Massachusetts,2006,1000,1006,0,0,3,0,1,0,4,8,27,2,1.5,112,112,,57,100,71,120,104,11,0.159593692,104.2258859,0.096054889,,0.111111111,0.17838765,0.296296296,0.071428571,0.111111111,0.026785714
Alpine Valley Ski Area,Michigan,Michigan,500,240,126,0,0,0,1,2,5,6,14,25,3,0.2,100,100,,57,20,47,,100,28,0.280368488,28.95134107,0.022696323,,0.047619048,0.051387461,0.56,0.14,0,0
Apple Mountain,Michigan,Michigan,820,220,600,0,0,0,1,0,0,5,6,12,,,80,42,,58,52,35,,80,28,0.280368488,28.95134107,0.018157059,,,0.041109969,0.5,0.075,0,0
Big Powderhorn Mountain,Michigan,Michigan,1800,600,1200,0,0,0,0,0,9,1,10,45,2,1,253,228,100,55,214,69,108,,28,0.280368488,28.95134107,0.057421698,0.041858518,0.031746032,,0.222222222,0.039525692,0,0
Bittersweet Ski Area,Michigan,Michigan,850,350,450,0,0,0,1,7,0,4,12,20,2,0.2,100,100,80,36,90,48,,100,28,0.280368488,28.95134107,0.022696323,0.033486815,0.031746032,0.051387461,0.6,0.12,0,0
Big Snow Resort - Blackjack,Michigan,Michigan,850,465,385,0,0,0,0,0,4,2,6,26,2,1,170,86,95,42,210,65,115,,28,0.280368488,28.95134107,0.038583749,0.039765592,0.031746032,,0.230769231,0.035294118,0,0
Boyne Highlands,Michigan,Michigan,1290,552,745,0,0,1,3,4,0,2,10,55,4,1.2,435,400,97,56,140,98,120,150,28,0.280368488,28.95134107,0.098729006,0.040602763,0.063492063,0.077081192,0.181818182,0.022988506,0.018181818,0.002298851
Caberfae Peaks,Michigan,Michigan,1569,485,1060,0,0,0,1,2,1,1,5,34,2,1.2,200,200,118,82,140,49,130,150,28,0.280368488,28.95134107,0.045392646,0.049393051,0.031746032,0.077081192,0.147058824,0.025,0,0
Cannonsburg,Michigan,Michigan,1100,250,850,0,0,0,1,1,1,7,10,21,5,0.1,100,,100,54,100,37,100,,28,0.280368488,28.95134107,0.022696323,0.041858518,0.079365079,,0.476190476,0.1,0,0
Crystal Mountain,Michigan,Michigan,1132,375,757,0,0,1,3,2,0,2,8,58,3,0.3,102,96,120,63,132,64,135,56,28,0.280368488,28.95134107,0.02315025,0.050230222,0.047619048,0.028776978,0.137931034,0.078431373,0.017241379,0.009803922
Big Snow Resort - Indianhead Mountain,Michigan,Michigan,1935,638,1297,0,0,0,1,1,5,2,9,32,2,1,240,150,120,60,204,49,120,,28,0.280368488,28.95134107,0.054471176,0.050230222,0.031746032,,0.28125,0.0375,0,0
Mont Ripley,Michigan,Michigan,1140,440,700,0,0,0,0,0,2,2,4,25,2,0.8,112,112,114,83,275,49,100,100,28,0.280368488,28.95134107,0.025419882,0.047718711,0.031746032,0.051387461,0.16,0.035714286,0,0
Mount Bohemia,Michigan,Michigan,1500,900,600,0,0,0,0,1,1,0,2,,,2.3,585,,83,19,273,68,100,,28,0.280368488,28.95134107,0.132773491,0.03474257,,,,0.003418803,,0
Mt. Brighton,Michigan,Michigan,1330,230,1100,0,0,0,2,3,0,8,13,25,5,0.1,130,130,111,59,60,59,100,130,28,0.280368488,28.95134107,0.02950522,0.046462955,0.079365079,0.0668037,0.52,0.1,0,0
Mt. Holiday Ski Area,Michigan,Michigan,440,200,240,0,0,0,0,0,2,2,4,12,,0.1,45,45,100,70,120,34,90,45,28,0.280368488,28.95134107,0.010213345,0.041858518,,0.023124358,0.333333333,0.088888889,0,0
Mount Holly,Michigan,Michigan,1105,350,755,0,0,1,2,3,1,6,13,19,,0.1,100,100,,63,42,45,102,100,28,0.280368488,28.95134107,0.022696323,,,0.051387461,0.684210526,0.13,0.052631579,0.01
Mulligan's Hollow Ski Bowl,Michigan,Michigan,700,130,570,0,0,0,0,0,0,5,5,6,,0.2,10,10,,19,60,20,,10,28,0.280368488,28.95134107,0.002269632,,,0.005138746,0.833333333,0.5,0,0
Norway Mountain,Michigan,Michigan,1335,500,835,0,0,0,0,1,2,3,6,17,1,1.4,186,186,110,45,100,45,110,40,28,0.280368488,28.95134107,0.042215161,0.04604437,0.015873016,0.020554985,0.352941176,0.032258065,0,0
Nubs Nob Ski Area,Michigan,Michigan,1338,427,911,0,0,0,3,4,2,1,10,53,3,0.9,248,248,133,61,135,85,130,160,28,0.280368488,28.95134107,0.056286882,0.055671829,0.047619048,0.082219938,0.188679245,0.040322581,0,0
Pine Mountain,Michigan,Michigan,1650,500,1150,0,0,0,0,1,2,1,4,28,1,0.5,160,160,110,80,60,45,126,80,28,0.280368488,28.95134107,0.036314117,0.04604437,0.015873016,0.041109969,0.142857143,0.025,0,0
Schuss Mountain at Shanty Creek,Michigan,Michigan,1125,450,675,0,0,0,5,0,0,3,8,42,3,1,70,70,94,57,160,78,111,70,28,0.280368488,28.95134107,0.015887426,0.039347007,0.047619048,0.035971223,0.19047619,0.114285714,0,0
Ski Brule,Michigan,Michigan,1860,500,1360,0,0,0,0,0,5,7,12,17,3,1,150,150,164,62,150,49,165,40,28,0.280368488,28.95134107,0.034044485,0.06864797,0.047619048,0.020554985,0.705882353,0.08,0,0
Snow Snake Mountain Ski Area,Michigan,Michigan,1230,210,1020,0,0,0,0,1,0,5,6,12,2,0,40,40,,72,,35,,40,28,0.280368488,28.95134107,0.009078529,,0.031746032,0.020554985,0.5,0.15,0,0
Swiss Valley,Michigan,Michigan,1200,225,975,0,0,0,2,1,0,4,7,11,2,0.1,60,60,89,51,60,42,80,60,28,0.280368488,28.95134107,0.013617794,0.037254081,0.031746032,0.030832477,0.636363636,0.116666667,0,0
The Homestead,Michigan,Michigan,900,320,580,0,0,0,0,2,1,2,5,15,1,0.2,16,16,47,34,150,50,42,16,28,0.280368488,28.95134107,0.003631412,0.019673504,0.015873016,0.008221994,0.333333333,0.3125,0,0
Timber Ridge,Michigan,Michigan,850,250,600,0,0,0,1,1,2,4,8,16,2,0.3,50,50,80,58,,45,,50,28,0.280368488,28.95134107,0.011348162,0.033486815,0.031746032,0.025693731,0.5,0.16,0,0
Afton Alps,Minnesota,Minnesota,1530,350,1180,0,0,0,1,3,14,4,22,48,5,0.5,250,250,135,56,60,60,135,250,14,0.248243148,16.1038005,0.16025641,0.090604027,0.172413793,0.245098039,0.458333333,0.088,0,0
Andes Tower Hills Ski Area,Minnesota,Minnesota,1620,290,1330,0,0,0,1,2,0,3,6,15,2,0.2,35,35,100,38,55,45,110,35,14,0.248243148,16.1038005,0.022435897,0.067114094,0.068965517,0.034313725,0.4,0.171428571,0,0
Buck Hill,Minnesota,Minnesota,1225,309,919,0,0,0,2,1,0,5,8,16,,0.2,45,45,115,65,60,47,112,45,14,0.248243148,16.1038005,0.028846154,0.077181208,,0.044117647,0.5,0.177777778,0,0
Buena Vista Ski Area,Minnesota,Minnesota,1510,230,1280,0,0,0,0,2,2,2,6,17,,0.3,30,30,57,70,78,44,60,30,14,0.248243148,16.1038005,0.019230769,0.038255034,,0.029411765,0.352941176,0.2,0,0
Coffee Mill Ski & Snowboard Resort,Minnesota,Minnesota,1150,425,725,0,0,0,0,0,2,1,3,14,1,1,40,35,57,39,48,37,56,35,14,0.248243148,16.1038005,0.025641026,0.038255034,0.034482759,0.034313725,0.214285714,0.075,0,0
Elm Creek Winter Recreation Area,Minnesota,Minnesota,928,60,868,0,0,0,0,0,0,3,3,3,,1,15,20,105,13,45,17,102,15,14,0.248243148,16.1038005,0.009615385,0.070469799,,0.014705882,1,0.2,0,0
Giants Ridge Resort,Minnesota,Minnesota,1972,500,1472,0,0,1,1,1,2,2,7,35,2,0.8,202,202,120,35,85,58,125,121,14,0.248243148,16.1038005,0.129487179,0.080536913,0.068965517,0.118627451,0.2,0.034653465,0.028571429,0.004950495
Hyland Ski & Snowboard Area,Minnesota,Minnesota,1075,175,900,0,0,0,2,1,0,5,8,14,1,1,35,35,110,61,55,35.34,115,35,14,0.248243148,16.1038005,0.022435897,0.073825503,0.034482759,0.034313725,0.571428571,0.228571429,0,0
Lutsen Mountains,Minnesota,Minnesota,1688,825,800,1,1,0,0,1,4,1,8,62,2,2,393,231,135,71,120,84,127,,14,0.248243148,16.1038005,0.251923077,0.090604027,0.068965517,,0.129032258,0.020356234,0,0
Mount Kato Ski Area,Minnesota,Minnesota,540,240,300,0,0,0,5,0,3,2,10,19,4,1,55,55,115,43,50,46,120,50,14,0.248243148,16.1038005,0.03525641,0.077181208,0.137931034,0.049019608,0.526315789,0.181818182,0,0
Powder Ridge Ski Area,Minnesota,Minnesota,790,300,500,0,0,0,1,0,2,3,6,15,4,,60,60,97,58,45,48,113,60,14,0.248243148,16.1038005,0.038461538,0.065100671,0.137931034,0.058823529,0.4,0.1,0,0
Spirit Mountain,Minnesota,Minnesota,1320,700,620,0,0,1,1,2,1,2,7,22,3,1,175,175,100,45,100,59,125,144,14,0.248243148,16.1038005,0.112179487,0.067114094,0.103448276,0.141176471,0.318181818,0.04,0.045454545,0.005714286
Welch Village,Minnesota,Minnesota,1060,360,700,0,0,0,3,1,4,2,10,50,1,0.8,125,125,114,54,45,60,122,100,14,0.248243148,16.1038005,0.080128205,0.076510067,0.034482759,0.098039216,0.2,0.08,0,0
Wild Mountain Ski & Snowboard Area,Minnesota,Minnesota,1113,300,813,0,0,0,4,0,0,4,8,26,4,0.9,100,100,130,47,50,55,140,100,14,0.248243148,16.1038005,0.064102564,0.087248322,0.137931034,0.098039216,0.307692308,0.08,0,0
Hidden Valley Ski Area,Missouri,Missouri,2566,310,2316,0,0,0,2,2,0,3,7,17,,0.1,30,30,,37,26,49,,17,2,0.03258694,2.869152309,0.5,,,0.361702128,0.411764706,0.233333333,0,0
Snow Creek,Missouri,Missouri,1100,300,800,0,0,0,0,2,1,2,5,14,2,0.3,30,30,69,33,20,47,85,30,2,0.03258694,2.869152309,0.5,1,1,0.638297872,0.357142857,0.166666667,0,0
Blacktail Mountain Ski Area,Montana,Montana,6676,1440,5236,0,0,0,0,1,2,1,4,27,,0.7,1000,,,21,250,42,,,12,1.122777602,8.161044614,0.046707146,,,,0.148148148,0.004,0,0
Bridger Bowl,Montana,Montana,8700,2600,6100,0,0,0,1,6,1,3,11,105,2,1.5,2000,100,122,64,350,63,133,,12,1.122777602,8.161044614,0.093414292,0.128286015,0.074074074,,0.104761905,0.0055,0,0
